trade_id,symbol,side,quantity,price,timestamp
T001,AAPL,BUY,100,189.50,2024-01-15 09:30:01
T002,MSFT,SELL,50,374.20,2024-01-15 09:30:05
T003,AAPL,BUY,200,189.75,2024-01-15 09:30:12
T004,GOOGL,BUY,25,140.10,2024-01-15 09:30:18
T005,MSFT,BUY,75,373.80,2024-01-15 09:30:22
T006,AAPL,SELL,150,190.20,2024-01-15 09:30:31
T007,GOOGL,SELL,10,140.50,2024-01-15 09:30:35
T008,MSFT,SELL,30,374.90,2024-01-15 09:30:41
T009,AAPL,BUY,300,189.90,2024-01-15 09:30:55
T010,GOOGL,BUY,40,139.80,2024-01-15 09:30:59
T011,AAPL,SELL,500,188.50,2024-01-15 09:31:10
T012,MSFT,BUY,120,373.20,2024-01-15 09:31:15
T013,INVALID,BUY,-50,189.00,2024-01-15 09:31:20
T014,AAPL,HOLD,100,190.00,2024-01-15 09:31:25
T015,GOOGL,SELL,60,140.20,2024-01-15 09:31:30
